"year","race","sex","age_group","is_aggregate","pop_total","lf_total","lf_pct","employed_total","employed_pct","unemployed_total","unemployed_pct","not_in_lf"
2025,"White","Women","18-19",FALSE,2937,1525,51.9,1357,46.2,168,11,1412
2025,"White","Women","20-24",FALSE,7844,5599,71.4,5238,66.8,361,6.4,2246
2025,"White","Women","25-54",TRUE,47652,37164,78,36048,75.6,1116,3,10487
2025,"White","Women","25-34",TRUE,16121,12656,78.5,12216,75.8,439,3.5,3465
2025,"White","Women","25-29",FALSE,7866,6155,78.2,5910,75.1,245,4,1712
2025,"White","Women","30-34",FALSE,8254,6501,78.8,6307,76.4,194,3,1753
2025,"White","Women","35-44",TRUE,16422,12813,78,12454,75.8,359,2.8,3609
2025,"White","Women","35-39",FALSE,8287,6461,78,6278,75.8,183,2.8,1826
2025,"White","Women","40-44",FALSE,8135,6352,78.1,6176,75.9,176,2.8,1783
2025,"White","Women","45-54",TRUE,15109,11696,77.4,11378,75.3,318,2.7,3413
2025,"White","Women","45-49",FALSE,7584,5962,78.6,5799,76.5,163,2.7,1622
2025,"White","Women","50-54",FALSE,7524,5734,76.2,5578,74.1,155,2.7,1791
2025,"White","Women","55-64",TRUE,16276,10037,61.7,9771,60,266,2.7,6239
2025,"White","Women","55-59",FALSE,7818,5474,70,5332,68.2,142,2.6,2344
2025,"White","Women","60-64",FALSE,8458,4563,53.9,4439,52.5,124,2.7,3895
2025,"White","Women","65+",TRUE,27154,4188,15.4,4063,15,125,3,22966
2025,"White","Women","65-69",FALSE,8114,2338,28.8,2279,28.1,59,2.5,5775
