"year","occupation","occ_level","occ_group","occ_subgroup","total_16plus","men_16plus","men_20plus","women_16plus","women_20plus"
2022,"Natural resources, construction, and maintenance occupations",0,"natural_resources_construction",NA,14260,13442,13090,818,783
2022,"Farming, fishing, and forestry occupations",1,"natural_resources_construction",NA,980,723,666,257,238
2022,"Construction and extraction occupations",1,"natural_resources_construction",NA,8427,8070,7875,357,350
2022,"Installation, maintenance, and repair occupations",1,"natural_resources_construction",NA,4853,4649,4548,204,195
2022,"Production, transportation, and material moving occupations",0,"production_transportation",NA,20082,15046,14430,5036,4832
2022,"Production occupations",1,"production_transportation",NA,8256,5797,5635,2459,2387
2022,"Transportation and material moving occupations",1,"production_transportation",NA,11826,9249,8796,2578,2444
2023,"Management, professional, and related occupations",0,"management_professional",NA,70275,33856,33663,36419,36123
2023,"Management, business, and financial operations occupations",1,"management_professional","management_business_financial",30544,16574,16518,13971,13914
2023,"Management occupations",2,"management_professional","management_business_financial",20906,12139,12104,8767,8729
2023,"Business and financial operations occupations",2,"management_professional","management_business_financial",9638,4435,4414,5204,5185
2023,"Professional and related occupations",1,"management_professional","professional_related",39731,17282,17145,22449,22209
2023,"Computer and mathematical occupations",2,"management_professional","professional_related",6502,4754,4729,1748,1738
2023,"Architecture and engineering occupations",2,"management_professional","professional_related",3602,3001,2987,602,597
2023,"Life, physical, and social science occupations",2,"management_professional","professional_related",1870,939,934,932,927
2023,"Community and social service occupations",2,"management_professional","professional_related",2879,874,863,2004,1990
2023,"Legal occupations",2,"management_professional","professional_related",1897,910,909,988,986
2023,"Education, training, and library occupations",2,"management_professional","professional_related",9403,2560,2528,6842,6732
2023,"Arts, design, entertainment, sports, and media occupations",2,"management_professional","professional_related",3478,1808,1769,1670,1615
2023,"Healthcare practitioners and technical occupations",2,"management_professional","professional_related",10099,2437,2426,7663,7625
2023,"Service occupations",0,"service",NA,26171,11206,10134,14965,13640
2023,"Healthcare support occupations",1,"service",NA,5123,806,783,4317,4204
2023,"Protective service occupations",1,"service",NA,3105,2357,2306,748,697
2023,"Food preparation and serving related occupations",1,"service",NA,8189,3775,3021,4414,3515
2023,"Building and grounds cleaning and maintenance occupations",1,"service",NA,5534,3206,3063,2328,2269
2023,"Personal care and service occupations",1,"service",NA,4220,1062,961,3158,2955
2023,"Sales and office occupations",0,"sales_office",NA,30279,11942,11355,18337,17386
2023,"Sales and related occupations",1,"sales_office",NA,14325,7352,6955,6972,6334
2023,"Office and administrative support occupations",1,"sales_office",NA,15954,4590,4400,11364,11051
2023,"Natural resources, construction, and maintenance occupations",0,"natural_resources_construction",NA,14326,13492,13111,834,785
2023,"Farming, fishing, and forestry occupations",1,"natural_resources_construction",NA,987,720,658,267,242
2023,"Construction and extraction occupations",1,"natural_resources_construction",NA,8457,8093,7881,364,350
2023,"Installation, maintenance, and repair occupations",1,"natural_resources_construction",NA,4881,4679,4571,203,193
2023,"Production, transportation, and material moving occupations",0,"production_transportation",NA,19986,15004,14435,4982,4758
2023,"Production occupations",1,"production_transportation",NA,8280,5800,5675,2479,2405
2023,"Transportation and material moving occupations",1,"production_transportation",NA,11706,9203,8760,2503,2353
2024,"Management, professional, and related occupations",0,"management_professional",NA,70744,33716,33505,37028,36680
2024,"Management, business, and financial operations occupations",1,"management_professional","management_business_financial",30602,16613,16546,13989,13922
2024,"Management occupations",2,"management_professional","management_business_financial",20657,12017,11979,8640,8587
2024,"Business and financial operations occupations",2,"management_professional","management_business_financial",9945,4596,4567,5349,5335
2024,"Professional and related occupations",1,"management_professional","professional_related",40142,17103,16959,23039,22758
2024,"Computer and mathematical occupations",2,"management_professional","professional_related",6386,4700,4686,1686,1673
2024,"Architecture and engineering occupations",2,"management_professional","professional_related",3552,2940,2926,613,609
2024,"Life, physical, and social science occupations",2,"management_professional","professional_related",1877,925,917,952,943
2024,"Community and social service occupations",2,"management_professional","professional_related",2950,896,886,2054,2037
2024,"Legal occupations",2,"management_professional","professional_related",1832,840,839,992,988
2024,"Education, training, and library occupations",2,"management_professional","professional_related",9587,2551,2515,7036,6925
2024,"Arts, design, entertainment, sports, and media occupations",2,"management_professional","professional_related",3483,1713,1670,1770,1698
2024,"Healthcare practitioners and technical occupations",2,"management_professional","professional_related",10475,2539,2519,7936,7885
2024,"Service occupations",0,"service",NA,26452,11246,10214,15206,13921
