"year","section","sex","age_group","race","marital_status","total_unemployed","less_5_weeks","5_to_14_weeks","15_plus_weeks","15_to_26_weeks","27_plus_weeks","avg_duration","median_duration"
2021,"age_sex","Men","20-24",NA,NA,739,209,217,313,105,208,22.7,11.7
2021,"age_sex","Men","25-34",NA,NA,1167,265,271,631,175,456,28.4,17.8
2021,"age_sex","Men","35-44",NA,NA,852,178,178,496,127,369,31.7,21.1
2021,"age_sex","Men","45-54",NA,NA,685,136,136,414,92,322,32,23.8
2021,"age_sex","Men","55-64",NA,NA,603,111,95,397,81,316,37.7,29.6
2021,"age_sex","Men","65+",NA,NA,257,51,52,154,32,122,36.3,24.3
2021,"age_sex","Women","16+",NA,NA,3948,1029,919,2000,509,1491,28.1,15.1
2021,"age_sex","Women","16-19",NA,NA,323,160,90,73,29,44,13.7,4.7
2021,"age_sex","Women","20-24",NA,NA,578,203,149,226,73,153,20.7,9.5
2021,"age_sex","Women","25-34",NA,NA,925,227,231,467,127,340,27.9,14.9
2021,"age_sex","Women","35-44",NA,NA,733,164,169,401,94,306,30.1,19
2021,"age_sex","Women","45-54",NA,NA,638,131,136,371,85,286,31.7,21.9
2021,"age_sex","Women","55-64",NA,NA,535,101,109,325,73,252,34.4,24.2
2021,"age_sex","Women","65+",NA,NA,216,43,35,138,27,111,38,28.8
2021,"race","Total","White, 16+","White",NA,5854,1502,1356,2996,789,2207,28.1,15.6
2021,"race","Men",NA,"White",NA,3222,787,744,1692,463,1229,28.4,16.6
2021,"race","Women",NA,"White",NA,2632,715,612,1304,326,978,27.8,14.3
2021,"race","Total","Black or African American, 16+","Black or African American",NA,1756,409,385,963,237,726,30.4,19
2021,"race","Men",NA,"Black or African American",NA,900,202,192,506,122,384,31.7,20.1
2021,"race","Women",NA,"Black or African American",NA,857,207,193,457,115,342,29,17.7
2021,"race","Total","Asian, 16+","Asian",NA,529,100,118,310,75,235,31.7,21.9
2021,"race","Men",NA,"Asian",NA,275,51,54,169,36,134,33.1,26.1
2021,"race","Women",NA,"Asian",NA,254,49,64,141,40,101,30.2,18.8
2021,"race","Total","Hispanic or Latino ethnicity, 16+","Hispanic or Latino",NA,1995,503,474,1018,276,743,27.4,15.4
2021,"race","Men",NA,"Hispanic or Latino",NA,1090,265,259,566,161,405,27.1,16
2021,"race","Women",NA,"Hispanic or Latino",NA,904,237,215,452,115,337,27.8,14.5
2021,"marital","Men",NA,NA,"Married, spouse present",1433,318,300,815,194,621,30.5,20.6
2021,"marital","Men",NA,NA,"Widowed, divorced, or  separated",607,134,122,352,79,273,32.9,21.7
2021,"marital","Men",NA,NA,"Never married",2635,660,641,1334,381,953,27.4,15
2021,"marital","Women",NA,NA,"Married, spouse present",1234,286,288,660,155,505,29.7,17.9
2021,"marital","Women",NA,NA,"Widowed, divorced, or  separated",780,171,166,443,105,338,31.8,20.5
2021,"marital","Women",NA,NA,"Never married",1934,572,465,897,249,648,25.7,12.5
2022,"age_sex","Total","16+",NA,NA,5996,2216,1711,2070,756,1314,22.6,8.7
2022,"age_sex","Total","16-19",NA,NA,675,343,210,122,69,53,10.8,4.4
2022,"age_sex","Total","20-24",NA,NA,1039,427,311,302,116,186,18.2,7.4
2022,"age_sex","Total","25-34",NA,NA,1425,491,430,504,193,312,21.3,9.1
2022,"age_sex","Total","35-44",NA,NA,1046,346,295,405,143,262,25.4,10
2022,"age_sex","Total","45-54",NA,NA,788,267,214,306,108,198,27.1,9.7
2022,"age_sex","Total","55-64",NA,NA,699,220,177,302,92,210,29.9,11
2022,"age_sex","Total","65+",NA,NA,323,121,75,127,35,92,31.6,9.4
2022,"age_sex","Men","16+",NA,NA,3218,1171,905,1143,397,746,23.7,9
2022,"age_sex","Men","16-19",NA,NA,351,175,103,73,37,35,12,4.5
2022,"age_sex","Men","20-24",NA,NA,593,229,175,188,69,119,20.3,8.2
2022,"age_sex","Men","25-34",NA,NA,760,261,221,277,100,177,22.1,9.4
2022,"age_sex","Men","35-44",NA,NA,548,182,156,211,68,143,26.4,10.1
2022,"age_sex","Men","45-54",NA,NA,404,136,107,160,55,105,27.5,9.9
